DAY,LATITUDE,LONGITUDE,MONTH,SIZE_HA,YEAR,label,total_precipitation_sum,temperature_c,dewpoint_c
18,49.0446,-123.8804,7,0.009,2023,1,1.2841465490964765e-06,17.862203216552757,8.247283554077171
7,49.0823,-115.1016,7,0.8,2023,1,0.00020881295193930782,19.209952926635765,8.00008099873861
18,49.3798,-123.2758,9,0.009,2023,1,0.007682278752326965,13.828241602579794,9.815728759765648
15,49.3014,-119.7091,8,2043.8,2023,1,0.0,27.48564745585128,9.353991444905603
24,50.0255,-119.4995,4,0.009,2023,1,0.0067846685645918114,5.969342803955101,2.3743161519368527
15,54.5467,-128.665,8,0.009,2023,1,0.001629844307899475,17.750214513142907,13.424385325113974
9,49.3555,-122.981,7,0.3,2023,1,8.534580864250074e-07,17.954061762491904,11.758097585042321
17,49.0938,-121.9459,7,0.2,2023,1,0.0020184695719649426,16.884306844075525,11.074330902099632
8,49.0856,-121.95,9,0.02,2023,1,3.382563591003418e-05,15.486651992797874,11.663369115193689
16,50.6778,-120.3501,4,0.9,2023,1,0.002496265474064785,6.228452301025413,1.1738417307536224
18,49.2255,-125.1924,9,0.01,2023,1,0.005667895078659058,9.598586654663109,7.426975504557333
19,54.5008,-128.5117,8,0.1,2023,1,2.086162567138672e-07,14.734547551472986,7.849039332071982
30,49.479,-119.6166,5,0.009,2023,1,6.702542236780573e-06,17.584199523925804,3.948672866821312
4,49.5069,-119.5791,6,0.1,2023,1,1.2814998058274796e-06,19.798891957600915,4.700591659545921
22,54.1914,-125.5591,5,0.009,2023,1,0.0032288074493358465,8.773740386962913,3.9992150624593137
28,53.6555,-120.826,5,0.009,2023,1,0.001976963366075779,14.687703704834007,8.083950932820642
27,55.1224,-125.8335,5,0.5,2023,1,1.2814997489840607e-06,12.18920478820803,4.187081273396814
8,54.7084,-128.7703,6,0.3,2023,1,8.52346317969932e-07,15.750810877482138,6.6848102569580305
15,50.5824,-127.13,8,0.009,2023,1,8.496642112731934e-05,17.06719042460128,13.320544179280603
21,50.6481,-126.9244,9,0.009,2023,1,,,
23,54.0313,-124.9389,4,0.009,2023,1,0.005700618028640747,3.2447448730468977,0.9143011728922943
18,54.9573,-122.9928,7,0.009,2023,1,0.0016733136417883543,15.733785247802757,7.590708033243857
15,50.9718,-116.436,8,0.009,2023,1,0.0,23.51421190897628,9.628812408447288
26,50.1001,-120.7938,7,0.6,2023,1,5.7116254652100906e-05,12.12788098653158,4.749567921956384
11,49.9946,-125.2549,6,0.009,2023,1,0.00020590424537658691,15.727058029174827,10.382203674316429
24,49.3798,-122.021,8,28.0,2023,1,1.2800923855138535e-05,15.039727783203148,7.611892318725609
17,50.3455,-122.5349,8,0.009,2023,1,0.0,21.296448008219443,12.709825770060263
11,49.588,-117.244,5,0.03,2023,1,0.0009873390196730725,6.744898096720419,1.3968241373698334
12,53.993,-124.7398,9,0.009,2023,1,0.0018225163221359253,13.454081471761071,8.601700719197595
11,49.995,-125.2542,6,0.01,2023,1,0.00020590424537658691,15.727058029174827,10.382203674316429
