FIRE_YEAR,IGNITN_DT,LATITUDE,LONGITUDE,CURRENT_SZ
2025,2025-09-02,49.1939,-116.2472,450.0
2025,2025-07-08,49.4421,-119.994,0.2
2025,2025-05-30,52.0924,-122.986,6.0
2025,2025-06-18,49.1499,-118.3309,2.5
2025,2025-07-09,53.3793,-123.7594,0.6
2025,2025-08-27,51.6142,-118.109,3.6
2025,2025-06-03,50.504,-115.981,0.009
2025,2025-09-16,51.0474,-120.277,3.01
2025,2025-10-12,48.8527,-123.8104,0.009
2025,2025-09-25,51.1675,-118.9839,1.75
2025,2025-07-16,51.5834,-122.709,0.009
2025,2025-07-05,49.0943,-121.4862,0.009
2025,2025-08-27,50.1228,-125.3897,0.009
2025,2025-05-01,49.4866,-117.5752,0.92
2025,2025-04-15,52.4663,-122.4406,3.1
2025,2025-04-30,56.0126,-120.0371,3.84
2025,2025-04-27,54.2112,-125.7112,2.0
2025,2025-04-20,55.0988,-128.1355,2.33
2025,2025-09-20,55.2627,-122.9435,0.01
2025,2025-05-01,52.2094,-121.8472,3.7
2025,2025-05-08,55.6931,-121.522,2.0
2025,2025-05-08,50.9781,-119.179,0.6
2025,2025-05-07,50.1132,-120.2851,0.8
2025,2025-05-04,49.9627,-119.7069,0.2
2025,2025-10-16,49.5612,-121.087,28.5
2025,2025-05-08,48.6486,-123.8332,0.81
2025,2025-10-12,54.728,-126.7847,0.38
2025,2025-04-18,49.7071,-124.511,0.3
2025,2025-04-18,56.527,-122.6953,12.3
2025,2025-04-25,50.5408,-116.2599,1.12
2025,2025-05-01,51.8244,-121.4924,1.19
2025,2025-04-21,53.2254,-119.9878,0.009
2025,2025-08-22,52.2067,-122.2687,1.19
2025,2025-08-10,49.6747,-125.5398,0.09
2025,2025-08-27,52.7258,-119.2326,0.009
2025,2025-04-18,51.6517,-120.1186,0.33
2025,2025-05-29,49.2859,-121.8277,1.3
2025,2025-07-25,50.4579,-127.5162,1.41
2025,2025-07-17,54.1588,-122.9371,0.009
2025,2025-09-21,50.3014,-120.8002,0.009
2025,2025-08-21,49.8983,-121.4469,0.7
2025,2025-08-31,49.0247,-122.818,0.09
2025,2025-07-31,55.4023,-127.5838,0.009
2025,2025-09-27,50.3076,-119.3828,13.25
2025,2025-07-08,49.1009,-121.768,0.009
2025,2025-06-11,50.1276,-123.7839,0.3
2025,2025-08-28,51.7953,-121.4979,0.08
2025,2025-05-05,50.3862,-121.3897,0.1
2025,2025-09-13,49.5741,-123.9463,6.3
2025,2025-08-01,49.7143,-119.5199,0.009
2025,2025-09-03,49.3007,-124.5385,0.03
2025,2025-04-30,55.5541,-120.6841,0.0
2025,2025-04-30,55.5427,-120.699,0.0
2025,2025-04-30,55.5295,-120.7347,0.87
2025,2025-04-30,55.5365,-120.7134,267.0
2025,2025-04-30,55.5783,-120.595,5.0
2025,2025-06-08,53.8001,-126.6141,1001.0
2025,2025-08-30,50.6572,-120.3475,0.009
2025,2025-07-06,49.7591,-124.1365,0.09
2025,2025-04-25,54.9181,-127.2969,0.3
2025,2025-08-28,55.0968,-128.0039,0.3
2025,2025-08-01,49.4351,-117.3843,0.009
2025,0212-01-12,50.1574,-125.2546,0.15
2025,2025-04-28,54.0931,-125.0204,0.2
