YEAR,MONTH,DAY,LATITUDE,LONGITUDE,SIZE_HA,CAUSE
2023,5,16,49.8002,-123.1021,0.1,H
2023,5,19,50.8678,-119.9681,0.8,H
2023,4,19,49.8287,-124.1282,1.2,H
2023,4,19,49.8326,-124.1064,1.36,U
2023,4,27,50.8685,-119.9626,2.3,H
2023,10,18,54.7039,-126.7842,0.1,H
2023,9,20,56.6916,-121.7628,0.1,H
2023,5,21,54.5855,-126.8778,1.5,H
2023,9,10,50.0055,-123.1327,0.02,H
2023,7,19,51.8171,-121.2527,0.23,H
2023,6,3,48.8928,-123.4216,0.02,H
2023,5,18,54.0101,-125.0337,0.01,H
2023,5,4,49.9561,-115.6593,0.1,H
2023,9,25,51.8311,-121.4609,0.009,H
2023,8,18,50.0869,-116.8821,0.009,H
2023,5,31,50.4601,-119.3786,4.27,H
2023,4,26,54.1475,-125.728,0.6,H
2023,6,17,49.895,-123.2745,0.009,H
2023,8,30,52.4427,-126.3352,0.009,H
2023,5,16,51.7646,-121.38,0.2,H
2023,7,10,50.3163,-118.8027,0.3,H
2023,9,15,54.298,-125.8385,0.04,H
2023,9,1,56.5518,-121.7542,0.64,H
2023,5,14,49.3375,-122.8883,0.4,H
2023,9,11,49.1834,-119.5598,4.5,H
2023,8,16,51.4499,-117.0978,0.3,H
2023,7,1,53.8157,-125.8965,0.009,H
2023,5,26,54.0038,-124.442,0.009,H
2023,5,10,53.473,-120.3952,0.009,H
2023,6,1,49.8461,-124.429,0.03,H
2023,5,13,54.6565,-124.7423,1.2,H
2023,6,3,49.8096,-124.3128,0.001,H
2023,8,9,54.0767,-124.0076,0.009,H
2023,6,26,49.2581,-124.7742,0.009,H
2023,4,21,56.5784,-120.6898,1.6,H
2023,5,10,49.359,-125.1033,0.36,H
2023,6,26,49.2591,-124.7708,0.13,H
2023,6,16,51.9234,-123.1186,0.009,H
2023,3,29,51.941,-123.1034,0.009,U
2023,10,2,54.886,-126.216,0.009,H
2023,5,14,49.0747,-121.7547,0.009,H
2023,10,7,49.9963,-124.7593,1.5,H
2023,8,25,55.0501,-126.3853,1.65,H
2023,9,18,49.474,-117.2805,0.3,H
2023,4,14,56.5072,-121.957,62.0,H
2023,4,16,56.3876,-121.2306,0.2,H
2023,6,21,58.7385,-122.6054,0.491,H
2023,10,23,52.6056,-121.4883,0.009,H
2023,4,27,50.6517,-120.3411,0.2,H
2023,5,1,56.5125,-121.9643,4.0,H
2023,3,26,50.6555,-119.9423,2.72,H
2023,4,28,56.2821,-120.7096,2.0,H
2023,4,1,49.3549,-125.0876,2.5,H
2023,4,16,56.2967,-121.1067,2.0,H
2023,9,15,51.9198,-123.0807,0.009,H
2023,5,7,55.4641,-128.2301,0.48,H
2023,5,5,55.264,-127.6244,0.2,H
2023,6,9,49.3734,-121.4436,0.06,H
2023,7,3,50.3401,-125.8891,2.0,H
2023,8,10,53.3399,-120.3032,0.009,H
2023,4,14,49.5153,-119.5691,0.5,H
2023,5,19,56.0854,-121.9667,4.0,H
2023,4,19,56.5279,-121.8935,0.866,H
2023,4,28,56.504,-122.0215,50.0,H
2023,7,4,54.5176,-128.5642,0.3,H
2023,9,17,49.2605,-124.7853,0.3,H
2023,6,15,50.2028,-125.7693,0.002,H
2023,5,3,52.4651,-125.3142,0.4,H
2023,5,3,52.4598,-125.3096,0.09,U
2023,5,5,50.8402,-118.5371,11.0,H
2023,7,22,49.7016,-123.0116,0.05,H
2023,6,27,49.5481,-123.2502,0.009,H
2023,6,30,50.0716,-123.3368,0.009,H
2023,7,1,50.5491,-120.1279,0.2,H
2023,5,27,49.07,-121.721,0.009,H
2023,7,15,55.7568,-121.18,0.21,N
2023,8,25,54.564,-127.7354,0.009,H
2023,9,5,50.161,-122.9081,0.009,H
2023,6,2,54.4774,-128.291,0.009,H
2023,4,15,49.3283,-121.2784,0.009,H
2023,8,28,49.2048,-124.8808,0.009,H
2023,5,27,49.5938,-126.629,0.009,H
2023,10,14,50.1056,-123.0378,0.009,H
2023,9,23,58.7338,-122.6259,0.009,H
2023,7,14,49.3538,-122.6132,0.5,H
2023,9,17,48.5962,-123.5394,0.009,H
2023,6,25,50.7229,-119.1994,0.009,H
2023,3,30,49.3734,-121.6439,14.6,U
2023,10,4,49.48,-115.5878,0.009,H
2023,6,3,49.338,-121.8452,0.9,U
2023,6,8,50.1097,-125.4196,0.46,H
2023,7,30,54.0276,-124.966,0.009,H
